,other_asin,product,category2,overall_rating,similarity,new_sim,topic_3_score,topic_4_score,topic_5_score,topic_6_score
179,B002RCQJ2W,"Red Flower Lymphatic Phytopower Sea Cleanser and Masque,8.8 Fl oz",Treatments & Masks,4.4,0.7885141745305234,0.623,0.7906,0.1761,,0.6696
234,B00260GSDK,"DDF Glycolic 5% Exfoliating Wash, 8.45 fl. oz.",Treatments & Masks,3.1,0.7197876142216537,0.473,0.6575,0.46869999999999995,0.7184,0.4136
503,B011MFZM1I,"IMAGE Skincare Ageless Total Resurfacing Masque, 2 oz.",Treatments & Masks,4.2,0.5055079567660327,0.415,0.8201,0.7285,0.8201,0.65325
499,B00ZAA7O86,Laboratoires Filorga Hydra-Hyal Intensive Hydrating Plumping Concentrate,Treatments & Masks,4.3,0.5088746166808821,0.412,0.80945,,0.8861,0.7328
540,B0057J2M9Q,"Natura Bisse Tolerance Recovery Cream, 1.7 fl. oz.",Treatments & Masks,4.4,0.48904536071917043,0.397,0.8126,,0.3612,0.8636
223,B002Q7K820,"Pevonia Spateen Blemished Skin Toner, 4 Fl Oz",Toners & Astringents,4.3,0.734535856343981,0.544,0.7403,0.6016999999999999,,
398,B00H59AA2W,"Guinot Hydra Beaute Toning Lotion, 6.7 Fl oz",Toners & Astringents,4.8,0.5608337607576627,0.51,0.91,,0.91,
131,B0019V5HI4,"Pevonia Combination Skin Cleanser, 6.8 Fl Oz",Toners & Astringents,3.6,0.8315551711848038,0.451,0.5419666666666667,0.4868333333333334,0.44245,0.5918666666666668
395,B00172DJ7Q,Mario Badescu Special Cleansing Lotion C,Toners & Astringents,3.8,0.5625560286767404,0.41,0.7282714285714286,0.5802259259259259,0.5387333333333333,0.604325
445,B000N2KJAG,Erno Laszlo Value Size Light Controlling Lotion Mattifying Toner,Toners & Astringents,3.7,0.5337105016930359,0.365,0.6842,,,
357,B01ETQXV7O,"AHAVA Essential Beauty Case, 2.1 lb.",Sets & Kits,4.8,0.594619488638934,0.332,0.55845,0.0772,0.5641666666666666,0.6473
396,B00I1BLRJ8,"Obagi Gentle Rejuvenation System Kit, 4 Count",Sets & Kits,4.5,0.5624039068353462,0.33,0.5859,,,0.5859
481,B004EB19LK,"Dr. Alkaitis Organic Skin Care Travel Kit, 4 pcs",Sets & Kits,3.8,0.5165831999633022,0.285,0.552,0.6426000000000001,0.5555187500000001,0.7036833333333332
631,B002DP8D36,Juice Beauty Age Defy Solutions Kit,Sets & Kits,3.4,0.4506567691179351,0.239,0.52964,0.44921428571428573,0.5463363636363636,0.5777375
449,B000W14OHM,Juice Beauty Organics To Go ($45 Value),Sets & Kits,3.6,0.5332057598806271,0.218,0.4085636363636364,0.6369,0.73858,0.7246545454545454
461,B000ULR8KE,"Pevonia RS2 Concentrate Rose, 1 Fl Oz",Not listed,3.8,0.52906189600761,0.374,0.7078000000000001,0.3977,0.47846666666666665,0.62975
618,B00BJ1C6CE,"Eau Thermale Avène Mattifying Fluid, 1.7 fl. oz.",Not listed,3.9,0.4569732226141199,0.327,0.7164,0.6369,0.5755894736842105,0.40085000000000004
676,B01AIU6NGG,"Michael Todd Blue Green Algae Balancing Toner to Enhance Freshly Cleansed Pores with Calming Minerals and Fortifying Nutrients, 8.4 Ounce",Not listed,4.5,0.4341246823480212,0.288,0.6622666666666667,0.5270833333333332,0.631990909090909,0.5256142857142858
485,B000ZJO1YW,"Pevonia Ligne Funamentale ""C"" Complexe , 1 Fl Oz",Not listed,4.1,0.5149145442022829,0.279,0.5423,,0.6222,0.54785
768,B001KWW4YM,"Yu-Be Foaming Skin Polish: Gently exfoliates using fine grains of rice bran & bamboo. Tones and balances with ginger root & ginseng. Soothes with green tea, geranium oil & camphor. Tube, 6.75 Fl Oz",Not listed,4.2,0.40744914414706035,0.189,0.46433636363636366,0.4782666666666667,0.6066235294117647,0.71645
150,B019QSK1YG,"Julep Korean Skincare Exfoliating, Hydrating Face Wash Set for Normal to Dry Sensitive Skin","Exfoliators, Polishes & Scrubs",3.6,0.814381879261566,0.72,0.8835500000000001,0.9545,0.5800583333333332,
235,B00EAUMOXW,"DDF Glycolic 5% Exfoliating Wash, 6 fl. oz.","Exfoliators, Polishes & Scrubs",4.1,0.7197111047019756,0.553,0.7684,0.47266666666666673,0.6947,0.4404
264,B002D48QOI,"GLYTONE Daily Facial Cleanser, 6.7 fl. oz.","Exfoliators, Polishes & Scrubs",3.8,0.6868480069765958,0.497,0.7239,0.5023363636363637,0.4591333333333334,0.419825
374,B00VTXJADA,"IMAGE Skincare Iluma Intense Brightening Exfoliating Powder, 1.5 oz.","Exfoliators, Polishes & Scrubs",4.1,0.5784044811710075,0.478,0.8263,0.3089,,
265,B00GM3ZQXK,Julep All-Natural Charcoal Konjac Sponge,"Exfoliators, Polishes & Scrubs",3.8,0.6866169072162414,0.448,0.6525083333333334,0.5035999999999999,0.5848555555555556,0.7777499999999999
26,B002TIR3YC,"Guinot Microbiotic Cleansing Foam, 5.07 Fl oz",Creams & Moisturizers,4.2,0.912527308788922,0.664,0.7281750000000001,,0.63622,
204,B00EXW6XFM,"Guinot Instant Cleansing Water, 6.7 Fl oz",Creams & Moisturizers,3.9,0.7621493236735503,0.611,0.8016,,,
195,B0019902VS,"Jurlique Replenishing Foaming Cleanser, 6.7 Fl Oz",Creams & Moisturizers,3.8,0.7746128823308295,0.475,0.6136199999999999,0.43915,,0.4818666666666667
147,B00BCR5MU8,PRESCRIBEDsolutions Starting Up/Face Glycolic Antioxidant Cleanser,Creams & Moisturizers,4.2,0.815511650337889,0.466,0.5719,0.4111,,
394,B01HBS7WW2,"COSMEDIX Phytoharmony, Balancing Moisturizer, 2 Ounce",Creams & Moisturizers,3.0,0.5638753158530858,0.434,0.7698,,,
85,B00K1LYKUO,"IMAGE Skincare The Max Stem Cell Facial Cleanser, 4 oz.",Cleansers,4.4,0.8649229702078574,0.748,0.8652,0.6118666666666667,0.4619,0.7086499999999999
20,B0142F7YHK,"Jurlique Purely Age-Defying Nourishing Cleansing Oil, 6.7 oz",Cleansers,4.5,0.9199726221163864,0.727,0.7906,,,
136,B0051WRBFY,iS Clinical Cream Cleanser 4 Fluid Ounce,Cleansers,5.0,0.8267813686210438,0.726,0.8779,0.8779,,
95,B00LA67R5E,"IMAGE Skincare Iluma Intense Lightening Cleanser, 4 oz.",Cleansers,3.8,0.8587491727450504,0.702,0.8179000000000001,0.40164999999999995,0.6064666666666666,0.6414500000000001
73,B00E4FVT0C,"Rodial Stemcell Super-Food Cleanser, 6.8 fl. oz.",Cleansers,4.7,0.8706725377072319,0.69,0.7925,0.765,0.50032,0.5718
